date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,"min_cloud_cover_10"
2023-04-15,24.3,14.88,15.45,6.6,,,59,45.2,47,35,7.7,3,3,-1.6,32,22.25,22.5,13,39,4,101.41,101.18,101.18,100.95,100.97,100.74,100.74,100.52,48300,37545.8,36200,24100,,,,,2.5,0,10.4,8.4,5.5,0,0,0,,06:09:00,1681553340,6.15,19:40:00,1681602000,19.67,13.52,8,8,24,24,8,8,,,,,,2,0.6,1,0,,,,""
2023-04-14,20.3,15.25,14.6,8.9,,,67,38.7,45,23,9.2,0.7,3.5,-2.1,29,17.42,18.5,8,38,5,101.52,101.3,101.15,100.79,101.08,100.87,100.72,100.36,48300,37208.3,36200,24100,,,,,3.4,0,9.6,7.6,4.6,0,0,0,,06:11:00,1681467060,6.18,19:39:00,1681515540,19.65,13.47,7,7,20,20,5,5,,,,,,6,1.6,3,0,,,,""
2023-04-13,27.9,17.23,16.8,5.7,29,,68,49.2,51.5,35,11.8,6.3,6.3,0.8,30,14.71,18,6,45,24,100.88,100.64,100.62,100.37,100.44,100.21,100.19,99.94,80500,35525,52300,24100,,,,,1.2,0,11.8,9.8,6.8,0,0,0,,06:13:00,1681380780,6.22,19:38:00,1681429080,19.63,13.42,8,8,25,25,10,12,,,,,,8,1.1,4,0,,,,""
2023-04-12,16.3,11.39,12.15,8,,,51,42.7,41,31,1.4,-1,-1.4,-4.3,26,18.5,15,4,42,27,101.08,100.91,100.91,100.74,100.64,100.47,100.47,100.31,48300,37208.3,36200,24100,,,,,5.8,0,7.2,5.2,2.1,0,0,0,,06:15:00,1681294500,6.25,19:36:00,1681342560,19.6,13.35,5,5,15,15,8,8,,,,,,8,6.9,4.5,1,,,,""
2023-04-11,17.8,13.57,13.6,9.4,,,53,43.2,43.5,34,4.4,1.2,2,-0.4,45,27.58,30,15,69,23,101.98,101.07,101.15,100.32,101.54,100.63,100.72,99.89,24100,24100,24100,24100,,,,,4.4,0,8.6,6.6,3.6,0,0,0,,06:16:00,1681208160,6.27,19:35:00,1681256100,19.58,13.32,4,4,14,16,6,7,,,,,,8,7.9,7.5,7,,,,""
2023-04-10,18.1,9.62,9.45,0.8,,,64,46.5,49,34,2.5,-1.7,-1.7,-5.9,38,23.54,23,8,50,24,102.93,102.55,102.48,102.03,102.48,102.1,102.03,101.59,48300,36537.5,36200,24100,,,,,8.6,0,4.5,2.5,0,0,0,0,,06:18:00,1681121880,6.3,19:34:00,1681169640,19.57,13.27,6,6,15,15,7,8,,,,,,8,2.3,4,0,,,,""
2023-04-09,10.2,4.03,3.59,-3,,-6,72,47.2,47,22,-4.5,-7.2,-7.8,-11.2,28,12.88,15.5,3,43,27,103.47,103.21,103.19,102.91,103.02,102.75,102.74,102.46,48300,37545.8,36200,24100,,,,,14.4,0,0,0,0,0,0,0,,06:20:00,1681035600,6.33,19:32:00,1681083120,19.53,13.2,5,5,9,10,2,2,,,,,,2,0.7,1,0,,,,""
2023-04-08,5.6,0.92,0.75,-4.1,,-7,55,41.7,41.5,28,-7.9,-11.1,-10.6,-13.2,28,12.88,17.5,7,39,26,103.5,103.24,103.27,103.04,103.04,102.78,102.81,102.58,48300,37479.2,35400,22500,,,,,17.2,0,0,0,0,0,0,0,,06:22:00,1680949320,6.37,19:31:00,1680996660,19.52,13.15,4,5,5,6,-3,-1,,,,,,7,0.9,3.5,0,,,,""
2023-04-07,3.8,2.25,0.64,-2.5,,-4,75,47.2,54,33,0,-8.3,-5.9,-11.8,50,28.58,27,4,69,26,103.07,102.5,102.53,102,102.61,102.05,102.08,101.55,48300,36875,36200,24100,,,,,17.4,0,0,0,0,0,0,0,,06:24:00,1680863040,6.4,19:30:00,1680910200,19.5,13.1,6,6,2,2,-6,-6,,,,,,7,2.2,3.5,0,,,,""
2023-04-06,9.8,3.6,4.65,-0.5,,-6,99,84.5,78.5,58,4.9,0.9,2,-0.9,32,18.21,18.5,5,49,23,102.09,101.69,101.73,101.37,101.64,101.24,101.28,100.92,48300,18150,24550,800,,,,,13.3,0,0,0,0,0,0,0,0,06:26:00,1680776760,6.43,19:29:00,1680823740,19.48,13.05,7,7,10,11,-1,-1,,,,,,8,7.5,6,4,,,,""
