date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,"min_cloud_cover_10"
2023-04-15,24.7,16.1,15.35,6,25,,59,42.9,45.5,32,8.5,3.2,3.2,-2.1,31,16.46,20,9,44,6,101.32,101.14,101.13,100.95,99.94,99.76,99.76,99.57,24100,24100,24100,24100,3.6,2.8,2.9,2.2,2.6,0,10.3,8.3,5.3,0,0,0,,06:18:00,1681553880,6.3,19:49:00,1681602540,19.82,13.52,8,8,23,23,10,10,24778,,,,,3,1.3,1.5,0,,,,""
2023-04-14,22.3,16.29,16.14,10,,,69,45.3,49.5,30,10.2,3.9,5.2,0.3,30,19.54,20,10,45,6,101.43,101.24,101.17,100.91,100.05,99.87,99.8,99.55,24100,24100,24100,24100,3.9,3.1,3.4,2.8,1.9,0,11.1,9.1,6.1,0,0,0,,06:20:00,1681467600,6.33,19:47:00,1681516020,19.78,13.45,7,7,20,20,7,7,24037,,,,,5,2,2.5,0,,,,""
2023-04-13,30.2,17.98,17,3.8,31,,77,52.8,53.5,30,11.1,7.4,5.7,0.3,25,12.79,13.5,2,49,22,100.85,100.69,100.67,100.48,99.48,99.31,99.3,99.12,24100,24100,24100,24100,4.2,3.5,3.2,2.3,1,0,12,10,7,0,0,0,0,06:22:00,1681381320,6.37,19:46:00,1681429560,19.77,13.4,8,8,28,28,9,9,23422,,,,,4,0.5,2,0,,,,""
2023-04-12,19.1,12.52,13.2,7.3,,,66,46.1,47,28,4.8,0.8,1.6,-1.7,19,12.25,13.5,8,,,101.3,100.98,100.95,100.6,99.91,99.59,99.57,99.22,24100,24100,24100,24100,3.1,2.9,2.9,2.7,4.8,0,8.2,6.2,3.2,0,0,0,0,06:23:00,1681294980,6.38,19:45:00,1681343100,19.75,13.37,5,7,19,19,7,7,19787,,,,,8,4.9,4.5,1,,,,""
2023-04-11,20.8,13.01,14.55,8.3,,,61,47.2,44.5,28,4.1,1.7,2.5,0.8,40,22.17,25,10,67,24,102.03,101.22,101.3,100.57,100.63,99.84,99.91,99.2,24100,24100,24100,24100,3.7,3.5,3.4,3,3.5,0,9.6,7.5,4.5,0,0,0,0,06:25:00,1681208700,6.42,19:43:00,1681256580,19.72,13.3,6,6,17,17,6,7,11633,,,,,8,7.1,5.5,3,,,,""
2023-04-10,19,8.85,9.05,-0.9,,-5,76,53.3,53,30,2.8,-0.7,-0.9,-4.6,34,17.33,20.5,7,51,23,102.95,102.59,102.51,102.08,101.52,101.17,101.1,100.68,24100,24100,24100,24100,3.7,3.2,3.1,2.6,8.9,0,4,2,0,0,0,0,2,06:27:00,1681122420,6.45,19:42:00,1681170120,19.7,13.25,6,6,16,16,3,3,22399,,,,,7,2.3,3.5,0,,,,""
2023-04-09,10.8,3.59,2.9,-5,,-9,80,50.4,53,26,-3.5,-6.9,-6,-8.4,18,8.62,11,4,32,26,103.55,103.26,103.25,102.94,102.1,101.81,101.81,101.51,24100,24100,24100,24100,2.9,2.6,2.6,2.4,15.1,0,0,0,0,0,0,0,2,06:29:00,1681036140,6.48,19:41:00,1681083660,19.68,13.2,5,5,11,11,-4,-4,24921,,,,,2,0.6,1,0,,,,""
2023-04-08,6.1,0.38,-0.55,-7.2,,-10,70,45,48.5,27,-6.6,-11,-9.8,-12.9,19,9.38,11.5,4,33,29,103.61,103.32,103.34,103.07,102.15,101.86,101.89,101.62,24100,24100,24100,24100,3,2.7,2.8,2.6,18.6,0,0,0,0,0,0,0,2,06:31:00,1680949860,6.52,19:40:00,1680997200,19.67,13.15,5,5,5,5,-10,-10,24593,,,,,6,1,3,0,,,,""
2023-04-07,3.8,0.87,-0.5,-4.8,,-7,58,46.9,48,38,-3.8,-9.4,-7.6,-11.4,37,25.67,20,3,64,29,103.2,102.75,102.7,102.2,101.74,101.31,101.26,100.78,24100,24100,24100,24100,2.8,2.6,2.5,2.3,18.5,0,0,0,0,0,0,0,3,06:32:00,1680863520,6.53,19:38:00,1680910680,19.63,13.1,5,6,1,2,-11,-10,24429,,,,,4,1.5,2,0,,,,""
2023-04-06,9.4,3.59,4.7,0,,-5,100,80,75,50,4,-0.1,-0.4,-4.8,34,15.92,17.5,1,50,23,102.2,101.74,101.72,101.23,100.77,100.31,100.28,99.8,24100,12283.3,12050,0,3.6,2.8,3,2.5,13.3,0,0,0,0,0,0,0,4,06:34:00,1680777240,6.57,19:37:00,1680824220,19.62,13.05,7,7,8,9,-4,-4,13507,,,,,8,5.9,4.5,1,,,,""
