date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,"min_cloud_cover_10"
2023-04-15,24.1,18.65,18.35,12.6,,,63,45.7,45.5,28,8.5,6.5,6.5,4.6,16,8.12,8.5,1,,,101.12,100.97,100.94,100.76,99.05,98.91,98.88,98.71,24100,24100,24100,24100,,,,,0,0.4,13.3,11.3,8.3,0,0,0,,06:35:00,1681554900,6.58,20:01:00,1681603260,20.02,13.43,8,8,24,24,11,11,,,,,,7,4.6,3.5,0,,,,""
2023-04-14,26.9,20.26,20,13.1,26,,60,41.8,43,26,8.5,6.3,6.8,5.2,20,10.04,10.5,1,32,15,101.22,101.06,101.08,100.94,99.16,99.01,99.02,98.88,24100,24100,24100,24100,,,,,0,2,15,13,10,0,0,0,,06:37:00,1681468620,6.62,20:00:00,1681516800,20,13.38,7,7,26,26,11,12,,,,,,5,1.7,2.5,0,,,,""
2023-04-13,29.4,21.3,21.4,13.4,30,,69,45.7,48.5,28,12.2,8.5,9.5,6.8,31,19.12,19,7,42,28,101.08,100.94,100.94,100.8,99.04,98.9,98.9,98.76,24100,24100,24100,24100,,,,,0,3.4,16.4,14.4,11.4,0,0,0,,06:39:00,1681382340,6.65,19:58:00,1681430280,19.97,13.32,7,8,29,30,10,13,,,,,,1,0.2,0.5,0,,,,""
2023-04-12,26.7,19.63,19.3,11.9,27,,63,47,47.5,32,10,7.7,7.7,5.3,43,20.58,24.5,6,58,25,101.41,101.08,101.09,100.77,99.34,99.02,99.03,98.72,24100,24100,24100,24100,,,,,0,1.3,14.3,12.3,9.3,0,0,0,,06:40:00,1681296000,6.67,19:57:00,1681343820,19.95,13.28,8,8,25,26,10,13,,,,,,7,2.7,3.5,0,,,,""
2023-04-11,23.8,15.97,15.8,7.8,,,52,41,42,32,6.9,2.6,2.3,-2.3,49,27.5,28,7,68,26,102.31,101.74,101.83,101.36,100.21,99.65,99.74,99.28,24100,23700,21700,19300,,,,,2.2,0,10.8,8.8,5.8,0,0,0,,06:42:00,1681209720,6.7,19:56:00,1681257360,19.93,13.23,6,6,20,23,7,7,,,,,,8,5.7,4,0,,,,""
2023-04-10,20.3,11.68,11,1.7,,,73,47.7,51,29,2,0.2,-0.2,-2.5,23,12.83,13.5,4,38,25,103.11,102.81,102.74,102.38,100.96,100.68,100.61,100.27,24100,24100,24100,24100,,,,,7,0,6,4,1,0,0,0,,06:44:00,1681123440,6.73,19:55:00,1681170900,19.92,13.18,6,6,18,18,5,5,,,,,,7,1.8,3.5,0,,,,""
2023-04-09,10.6,4.84,4.8,-1,,-4,99,60.9,63.5,28,-0.3,-2.9,-4.4,-8.5,16,8.67,8.5,1,,,103.61,103.36,103.36,103.11,101.44,101.2,101.2,100.96,24100,24100,24100,24100,,,,,13.2,0,0,0,0,0,0,0,,06:46:00,1681037160,6.77,19:54:00,1681084440,19.9,13.13,5,5,10,10,0,0,,,,,,8,1,4,0,,,,""
2023-04-08,6.4,1.71,1.25,-3.9,,-8,74,51.6,52.5,31,-2,-7.8,-6.4,-10.8,24,9.79,13,2,,,103.67,103.42,103.42,103.16,101.49,101.24,101.24,100.99,24100,24033.3,23300,22500,,,,,16.8,0,0,0,0,0,0,0,,06:47:00,1680950820,6.78,19:52:00,1680997920,19.87,13.08,5,6,7,8,-4,-4,,,,,,8,3.7,4,0,,,,""
2023-04-07,6.5,2.53,2.25,-2,,-7,84,52.4,60.5,37,-2.1,-6.6,-5.5,-8.8,38,23.67,26,14,54,30,103.44,103.18,103.03,102.63,101.26,101.02,100.88,100.49,24100,24100,24100,24100,,,,,15.8,0,0,0,0,0,0,0,,06:49:00,1680864540,6.82,19:51:00,1680911460,19.85,13.03,6,6,7,7,-6,-5,,,,,,4,1.7,2,0,,,,""
2023-04-06,14.5,8.67,9.05,3.6,,,100,61.5,68,36,14.5,1.2,5,-4.5,43,25.92,28,13,55,27,102.61,102.05,101.88,101.15,100.47,99.93,99.76,99.05,24100,24100,24100,24100,,,,,8.9,0,4,2,0,0,0,0,,06:51:00,1680778260,6.85,19:50:00,1680825000,19.83,12.98,7,7,11,11,0,0,,,,,,8,5.5,4,0,,,,""
2023-04-05,15,5.33,8.94,2.9,,,100,87.8,79,58,9.4,3.2,3.7,-2,37,17.38,20,3,62,10,102.01,101.35,101.51,101.02,99.89,99.23,99.4,98.91,24100,15754.2,13050,2000,,,,,9.1,0,3.9,1.9,0,24.4,24.4,0,,06:53:00,1680691980,6.88,19:49:00,1680738540,19.82,12.93,3,3,15,15,5,7,,,,,,8,7.5,6,4,,,,""
2023-04-04,10.9,8.36,8.19,5.5,,,100,79,78.5,57,9.2,4.6,4.2,-0.8,39,15.21,20.5,2,54,10,102.16,101.74,101.75,101.33,100.04,99.63,99.64,99.23,24100,18579.2,14050,4000,,,,,9.8,0,3.2,1.2,0,1.8,1.8,0,,06:54:00,1680605640,6.9,19:48:00,1680652080,19.8,12.9,4,4,10,13,6,6,,,,,,8,7.5,7,6,,,,""
2023-04-03,14.1,7.67,7.35,0.6,,,74,50.7,53,32,3.4,-2.4,-1.1,-5.6,40,15.04,21,2,55,27,101.49,101.14,101.14,100.8,99.35,99.02,99.02,98.69,24100,24100,24100,24100,,,,,10.7,0,2.4,0.4,0,0,0,0,,06:56:00,1680519360,6.93,19:46:00,1680565560,19.77,12.83,5,6,14,14,4,4,,,,,,8,6.2,4.5,1,,,,""
2023-04-02,3.6,-0.42,-0.59,-4.8,,-11,66,45.4,49,32,-4.4,-11.1,-9.8,-15.2,26,14.62,15,4,44,35,102.28,101.93,101.83,101.37,100.12,99.78,99.69,99.25,24100,24100,24100,24100,,,,,18.6,0,0,0,0,0,0,0,,06:58:00,1680433080,6.97,19:45:00,1680479100,19.75,12.78,5,5,4,4,1,1,,,,,,8,2.4,4,0,,,,""
2023-04-01,14.6,6.75,6.19,-2.2,,-8,100,75.9,73.5,47,8.7,2.3,-1,-10.7,50,28.54,29,8,74,31,101.16,99.69,100.16,99.16,99.05,97.61,98.07,97.09,24100,18979.2,12450,800,,,,,11.8,0,1.2,0,0,17.2,17.2,0,,07:00:00,1680346800,7,19:44:00,1680392640,19.73,12.73,4,4,12,16,-6,-5,,,,,,8,5.6,4,0,,,,""
2023-03-31,4.9,2.62,2.5,0.1,,-2,100,87.1,80.5,61,4.4,0.5,-1.2,-6.7,17,9.79,10.5,4,30,13,102.37,101.41,101.34,100.3,100.21,99.28,99.2,98.19,24100,12595.8,12850,1600,,,,,15.5,0,0,0,0,11.2,11.2,0,,07:01:00,1680260460,7.02,19:43:00,1680306180,19.72,12.7,1,1,7,7,6,8,,,,,,8,7.5,6,4,,,,""
2023-03-30,4.2,-1.23,-1.5,-7.2,,-12,77,59.3,57,37,-5.2,-8.5,-7.8,-10.4,18,12.92,11.5,5,37,23,102.91,102.68,102.66,102.4,100.73,100.51,100.49,100.24,24100,24100,24100,24100,,,,,19.5,0,0,0,0,0,0,0,0,07:03:00,1680174180,7.05,19:42:00,1680219720,19.7,12.65,4,4,5,6,-3,-1,,,,,,7,2.5,3.5,0,,,,""
2023-03-29,9.1,1.27,1.4,-6.3,,-11,100,66.2,71,42,3.5,-4.6,-3.2,-9.9,49,24.75,28,7,73,31,102.45,101.85,101.88,101.32,100.3,99.71,99.75,99.19,24100,22495.8,14450,4800,,,,,16.6,0,0,0,0,1.8,0.8,1,0,07:05:00,1680087900,7.08,19:40:00,1680133200,19.67,12.58,4,4,7,8,-8,-8,,,,,,8,3.5,4,0,,,,""
2023-03-28,6.4,3.44,3.6,0.8,,,100,79.4,81,62,2,0,-0.6,-3.2,18,10.96,10.5,3,,,102.3,102.19,102.19,102.09,100.15,100.05,100.05,99.95,24100,24100,24100,24100,,,,,14.4,0,0,0,0,0,0,0,,07:07:00,1680001620,7.12,19:38:00,1680046680,19.63,12.52,2,3,6,7,-1,-1,,,,,,8,5.6,4,0,,,,""
2023-03-27,4.4,2.88,2.95,1.5,,,100,89.7,79.5,59,2.7,1.2,-0.2,-3.2,19,9.75,11,3,,,102.17,101.82,101.88,101.58,100.02,99.68,99.74,99.46,24100,21629.2,15250,6400,,,,,15.1,0,0,0,0,1.8,,,,07:09:00,1679915340,7.15,19:37:00,1679960220,19.62,12.47,3,3,4,4,-2,1,,,,,,8,7.6,5.5,3,,,,""
2023-03-26,9.6,5.17,5.65,1.7,,,79,59.2,60,41,-1.3,-2.4,-2.6,-3.9,48,28.96,26.5,5,67,26,101.71,101.19,100.95,100.2,99.58,99.07,98.83,98.09,24100,23500,16900,9700,,,,,12.3,0,0.6,0,0,,,,,07:11:00,1679829060,7.18,19:36:00,1679873760,19.6,12.42,4,4,8,10,1,2,,,,,,8,3.9,4,0,,,,""
