date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,"min_cloud_cover_10"
2023-04-15,10.9,8.33,8.69,6.5,,,100,84.1,80.5,61,8.9,5.6,5.1,1.3,27,16.67,17.5,8,37,9,101.98,101.81,101.81,101.64,101.93,101.76,101.76,101.59,32200,19845.8,19300,6400,3,2.2,2.4,1.7,9.3,0,3.7,1.7,0,5,,,,06:21:00,1681564860,6.35,20:05:00,1681614300,20.08,13.73,2,2,10,11,6,8,,,,,,8,7.7,6.5,5,,,,""
2023-04-14,11.2,6.85,6.05,0.9,,,100,76.7,77,54,5.3,2.8,3.1,0.9,16,8.38,8,0,32,19,101.79,101.71,101.72,101.64,101.74,101.66,101.66,101.59,32200,28487.5,28150,24100,9,2.4,5.1,1.2,11.9,0,1.1,0,0,0,0,0,,06:23:00,1681478580,6.38,20:03:00,1681527780,20.05,13.67,4,4,12,12,4,6,,,,,,8,4.3,4.5,1,,,,""
2023-04-13,10.3,7.04,7.1,3.9,,,92,76.7,75.5,59,4.1,3.1,2.8,1.5,21,14.5,13,5,31,23,101.71,101.63,101.61,101.51,101.66,101.58,101.56,101.46,32200,30175,28150,24100,9,2.3,5.1,1.2,10.9,0,2.1,0.1,0,0,0,0,,06:25:00,1681392300,6.42,20:02:00,1681441320,20.03,13.62,3,3,10,10,1,1,,,,,,8,5.8,4.5,1,,,,""
2023-04-12,11.2,6.5,5.19,-0.8,,,95,73.6,70.5,46,5.5,1.9,2.2,-1,24,11.62,13,2,32,29,101.93,101.8,101.81,101.7,101.88,101.75,101.76,101.65,48300,41591.7,40250,32200,2.7,2.1,2,1.3,12.8,0,0.2,0,0,0,0,0,,06:27:00,1681306020,6.45,20:00:00,1681354800,20,13.55,4,4,9,9,2,2,,,,,,6,2.2,3.5,1,,,,""
2023-04-11,10.9,7.45,8,5.1,,,100,73.5,72.5,45,6.5,2.4,1.5,-3.5,27,17.75,17.5,8,44,20,101.83,101.49,101.5,101.16,101.78,101.44,101.44,101.11,32200,27633.3,24150,16100,3,2.4,2.3,1.6,10,0,3,1,0,6.2,6.2,0,,06:29:00,1681219740,6.48,19:59:00,1681268340,19.98,13.5,3,4,8,9,2,2,,,,,,8,7,6,4,,,,""
2023-04-10,10.6,7.64,7.69,4.8,,,100,90.8,85.5,71,7.6,6.2,6.3,5.1,16,10.96,11.5,7,,,102.13,101.7,101.67,101.22,102.08,101.65,101.62,101.17,32200,30175,28150,24100,2.9,2.2,2.1,1.4,10.3,0,2.7,0.7,0,0,0,0,,06:31:00,1681133460,6.52,19:57:00,1681181820,19.95,13.43,3,3,10,10,4,5,,,,,,8,7.8,7,6,,,,""
2023-04-09,11.6,9.4,9.3,7,,,100,94.7,91,82,11.2,8.6,8,4.7,38,21.92,19.5,1,59,12,102.06,101.44,101.58,101.1,102.01,101.39,101.53,101.05,32200,17170.8,20150,8100,2.7,2,2.1,1.5,8.7,0,4.3,2.3,0,9.1,9.1,0,,06:33:00,1681047180,6.55,19:56:00,1681095360,19.93,13.38,1,1,11,11,4,5,,,,,,8,7.6,6.5,5,,,,""
2023-04-08,9.5,8.27,8.35,7.2,,,100,89.9,90,80,8,6.7,6.5,4.9,34,22.46,19,4,51,12,101.6,101.38,101.38,101.15,101.55,101.33,101.33,101.1,24100,15625,14450,4800,5,2.1,3.4,1.7,9.7,0,3.4,1.4,0,4.4,4.4,0,,06:35:00,1680960900,6.58,19:54:00,1681008840,19.9,13.32,1,1,8,10,9,10,,,,,,8,7.8,7.5,7,,,,""
2023-04-07,14,10.12,11.25,8.5,,,100,83.5,79,58,10,7.2,6.7,3.3,23,13.08,13.5,4,44,20,101.15,100.88,100.89,100.62,101.1,100.83,100.83,100.57,32200,22662.5,22550,12900,2.5,1.8,2,1.5,6.8,0,6.2,4.2,1.2,5.2,5.2,0,,06:37:00,1680874620,6.62,19:53:00,1680922380,19.88,13.27,3,3,11,11,6,6,,,,,,8,7.4,6.5,5,,,,""
2023-04-06,10.9,9.01,8.8,6.7,,,97,87.5,79,61,9.3,7,5.5,1.6,33,24.88,26,19,48,9,101.6,101,101.09,100.58,101.55,100.95,101.04,100.53,32200,18975,22550,12900,2.6,2.1,2.1,1.7,9.2,0,3.8,1.8,0,9.9,9.9,0,,06:40:00,1680788400,6.67,19:51:00,1680835860,19.85,13.18,1,1,10,10,9,9,,,,,,8,8,8,8,,,,""
